ID,LUCODES_IDENTIFIER,CODE_TYPE,CODE_NAME,ABBREVIATION,DESCRIPTION,SORT_ORDER,R_SEG,CY
46,7483969.0,PRINCIPAL_MERIDIAN,Tallahassee,29,,29.0,,2018.0
47,7483970.0,PRINCIPAL_MERIDIAN,Third Principal,,,31.0,,2018.0
48,7483971.0,PRINCIPAL_MERIDIAN,Uintah,30,,30.0,,2018.0
49,7483972.0,PRINCIPAL_MERIDIAN,Umiat,45,,45.0,,2018.0
50,7483973.0,PRINCIPAL_MERIDIAN,Ute,31,,31.0,,2018.0
51,7483974.0,PRINCIPAL_MERIDIAN,Washington,32,,32.0,,2018.0
52,7483975.0,PRINCIPAL_MERIDIAN,Willamette,33,,33.0,,2018.0
53,7483976.0,PRINCIPAL_MERIDIAN,Wind River,34,,34.0,,2018.0
54,7483977.0,AREA_UOM,Acres,ACRES,,1.0,,2018.0
55,7483978.0,AREA_UOM,Hectares,HECTARES,,2.0,,2018.0
56,7483979.0,AREA_UOM,Square Kilometers,SQ KM,,3.0,,2018.0
57,7483980.0,AREA_UOM,Square Miles,SQ MILES,,4.0,,2018.0
58,7483981.0,AR,Acres,ACRES,,1.0,,2018.0
59,7483982.0,AR,Square Miles,SQ MILES,,2.0,,2018.0
60,7483983.0,AR,Hectares,HECTARES,,3.0,,2018.0
61,7483984.0,AR,Square Kilometers,SQ KM,,4.0,,2018.0
62,7483985.0,CA,Human,H,,1.0,,2018.0
63,7483986.0,CA,Lightning/Natural,L,,2.0,,2018.0
64,7483987.0,CA,Other,O,,3.0,,2018.0
65,7483988.0,CA,Unknown,U,,4.0,,2018.0
66,7483989.0,FM,1 Short grass (1 Foot),1,,1.0,,2018.0
67,7483990.0,FM,2 Timber (grass and understory),2,,2.0,,2018.0
68,7483991.0,FM,3 Tall Grass (2.5 Feet),3,,3.0,,2018.0
69,7483992.0,FM,4 Chaparral (6 Feet),4,,4.0,,2018.0
70,7483993.0,FM,5 Brush (2 Feet),5,,5.0,,2018.0
71,7483994.0,FM,"6 Dormant Brush, Hardwood Slash",6,,6.0,,2018.0
72,7483995.0,FM,7 Southern Rough,7,,7.0,,2018.0
73,7483996.0,FM,8 Closed Timber Litter,8,,8.0,,2018.0
74,7483997.0,FM,9 Hardwood Litter,9,,9.0,,2018.0
75,7483998.0,FM,10 Timber (litter and understory),10,,10.0,,2018.0
76,7483999.0,FM,11 Light Logging Slash,11,,11.0,,2018.0
77,7484000.0,FM,12 Medium Logging Slash,12,,12.0,,2018.0
78,7484001.0,FM,Heavy Logging Slash,13,,13.0,,2018.0
79,7484002.0,TT,Type 1 Team,1,,1.0,,2018.0
80,7484003.0,TT,Type 2 Team,2,,3.0,,2018.0
81,7484004.0,TT,Type 3 Team,3,,5.0,,2018.0
82,7484005.0,TT,Type 3 IC,4,,6.0,,2018.0
83,7484006.0,TT,Type 4 IC,5,,7.0,,2018.0
84,7484007.0,TT,Type 5 IC,6,,8.0,,2018.0
85,7484008.0,TT,Area Command,C,,9.0,,2018.0
86,7484009.0,RESOURCE_TYPE,ALS Ambulance,AMBL,ALS Ambulance,130.0,,2018.0
87,7484010.0,RESOURCE_TYPE,Decontamination Unit,DECON,Decontamination Unit,150.0,,2018.0
88,7484011.0,RESOURCE_TYPE,Dozer,DOZR,Dozer,140.0,,2018.0
89,7484012.0,RESOURCE_TYPE,"Engine, Type 1",ENG1,"Engine, Type 1",70.0,,2018.0
90,7484013.0,RESOURCE_TYPE,"Engine, Type 2",ENG2,"Engine, Type 2",80.0,,2018.0
91,7484014.0,RESOURCE_TYPE,"Engine, Type 3",ENG3,"Engine, Type 3",90.0,,2018.0
92,7484015.0,RESOURCE_TYPE,"Engine, Type 4",ENG4,"Engine, Type 4",100.0,,2018.0
93,7484016.0,RESOURCE_TYPE,"Engine, Type 5",ENG5,"Engine, Type 5",110.0,,2018.0
94,7484017.0,RESOURCE_TYPE,"Engine, Type 6",ENG6,"Engine, Type 6",120.0,,2018.0
95,7484018.0,RESOURCE_TYPE,"Fixed Wing, Recon",FWRE,"Fixed Wing, Recon",160.0,,2018.0
96,7484019.0,RESOURCE_TYPE,Food Dispensing Unit,FDU,Food Dispensing Unit,190.0,,2018.0
97,7484020.0,RESOURCE_TYPE,"Crew, Type 1",CR1,"Crew, Type 1",10.0,,2018.0
98,7484021.0,RESOURCE_TYPE,"Crew, Type 2",CR2,"Crew, Type 2",20.0,,2018.0
99,7484022.0,RESOURCE_TYPE,"Crew, Type 2IA",CR2IA,"Crew, Type 2IA",30.0,,2018.0
100,7484023.0,RESOURCE_TYPE,"Helicopter, Type 1",HEL1,"Helicopter, Type 1",40.0,,2018.0
101,7484024.0,RESOURCE_TYPE,"Helicopter, Type 2",HEL2,"Helicopter, Type 2",50.0,,2018.0
102,7484025.0,RESOURCE_TYPE,"Helicopter, Type 3",HEL3,"Helicopter, Type 3",60.0,,2018.0
103,7484026.0,RESOURCE_TYPE,"Laundry, Mobile",MLAU,"Laundry, Mobile",210.0,,2018.0
104,7484027.0,RESOURCE_TYPE,GIS Unit,GISU,GIS Unit,230.0,,2018.0
105,7484028.0,RESOURCE_TYPE,Mobile Coroner Unit,MCU,Mobile Coroner Unit,170.0,,2018.0
106,7484029.0,RESOURCE_TYPE,Mobile Communications Center,MCC,Mobile Communications Center,180.0,,2018.0
