INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,STATUS,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,COMPLEXITY_LEVEL_IDENTIFIER,FUEL_MODEL_IDENTIFIER,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,EXPECTED_CONTAINMENT_DATE,PCT_PERIM_TO_BE_CONTAINED,SECNDRY_FUEL_MODEL_IDENTIFIER,ADDNTL_FUEL_MODEL_IDENTIFIER,GEN_FIRE_BEHAVIOR_IDENTIFIER,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER
11979155,11979081,11/22/2020 8:00:00 AM,11/22/2020 6:00:00 PM,U,2800.000000,95,9429750,9429766,3500,9429890,11/23/2020 12:00:00 PM,,100,9429762,,9430150,9430166,,
11979198,11979081,11/23/2020 8:00:00 AM,11/23/2020 6:00:00 PM,U,2800.000000,100,9429750,9429766,2800,9429890,11/23/2020 12:00:00 PM,,100,9429762,,9430150,9430166,,
11979169,11979081,11/23/2020 7:00:00 PM,11/23/2020 8:00:00 PM,F,2800.000000,100,9429750,9429766,2800,9429890,11/23/2020 12:00:00 PM,,100,9429762,,9430150,,,
11979251,11979237,10/24/2020 10:00:00 PM,10/25/2020 6:00:00 PM,I,1674.000000,30,9429750,9429764,,,10/29/2020 12:00:00 PM,,100,9429766,,9430147,9430155,9430157,9430158
11979304,11979237,10/25/2020 6:00:00 PM,10/26/2020 6:00:00 PM,U,1674.000000,50,9429750,9429764,,,10/29/2020 12:00:00 PM,,100,9429766,,9430150,9430158,9430166,
11979238,11979237,10/26/2020 6:00:00 PM,10/27/2020 5:30:00 PM,U,1674.000000,50,9429750,9429764,,,10/29/2020 12:00:00 PM,,100,9429766,,9430150,,,
11979272,11979237,10/28/2020 8:00:00 AM,10/28/2020 6:00:00 PM,U,1674.000000,60,9429750,9429764,,,11/2/2020 12:00:00 PM,,100,9429766,,9430150,,,
11979288,11979237,10/29/2020 10:00:00 AM,10/29/2020 5:00:00 PM,U,1674.000000,60,9429750,9429764,,,11/2/2020 12:00:00 PM,,100,9429766,,9430150,,,
11979338,11979237,10/30/2020 10:00:00 AM,10/30/2020 5:00:00 PM,U,1674.000000,60,9429750,9429764,,,11/2/2020 12:00:00 PM,,100,9429766,,9430150,,,
11979353,11979237,10/31/2020 10:00:00 AM,10/31/2020 4:00:00 PM,U,1674.000000,60,9429750,9429764,,,11/2/2020 12:00:00 PM,,100,9429766,,9430150,,,
11979322,11979237,11/1/2020 7:00:00 AM,11/1/2020 5:00:00 PM,U,1674.000000,59,9429750,9429764,,,11/2/2020 12:00:00 PM,,100,9429766,,9430150,,,
11979369,11979237,11/2/2020 8:00:00 AM,11/2/2020 5:30:00 PM,F,1674.000000,100,9429750,9429764,,,11/2/2020 12:00:00 PM,,100,9429766,,9430150,,,
11979443,11979442,11/6/2020 6:00:00 PM,11/7/2020 6:00:00 PM,F,124.000000,100,9429749,9429771,124,9429890,11/7/2020 12:00:00 PM,,100,9429772,,9430150,9430156,9430158,9430157
11979468,11979455,11/17/2020 3:15:00 PM,11/18/2020 12:30:00 AM,I,440.000000,100,9429749,9429763,,,11/18/2020 12:00:00 PM,,100,,,9430149,9430155,,
11979456,11979455,11/17/2020 3:30:00 PM,11/18/2020 12:45:00 AM,F,440.000000,100,9429749,9429763,,,11/18/2020 12:00:00 PM,,100,,,9430149,9430155,,
11979505,11979479,12/10/2020 7:36:00 AM,12/10/2020 10:33:00 AM,I,220.000000,0,9429750,9429764,,,12/10/2020 12:00:00 PM,,100,9429771,,9430148,9430155,9430158,
11979493,11979479,12/10/2020 7:37:00 AM,12/14/2020 9:00:00 AM,F,2558.000000,100,9429750,9429764,,,12/10/2020 12:00:00 PM,,100,9429771,,9430150,,,
11979480,11979479,12/10/2020 7:38:00 AM,12/11/2020 9:42:00 AM,U,2538.000000,100,9429750,9429764,,,12/10/2020 12:00:00 PM,,100,9429771,,9430150,9430158,,
