INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,STATUS,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,COMPLEXITY_LEVEL_IDENTIFIER,FUEL_MODEL_IDENTIFIER,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,EXPECTED_CONTAINMENT_DATE,PCT_PERIM_TO_BE_CONTAINED,SECNDRY_FUEL_MODEL_IDENTIFIER,ADDNTL_FUEL_MODEL_IDENTIFIER,GEN_FIRE_BEHAVIOR_IDENTIFIER,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER
7305737,7305641,2017-09-30 09:00:00,2017-09-30 18:15:00,U,441.0,80.0,4495898.0,4495912.0,,,2017-10-01 12:00:00,,100,4495911.0,,4496298.0,4496314,4496306,
7305762,7305641,2017-09-30 00:00:00,2017-09-30 08:30:00,U,441.0,60.0,4495898.0,4495912.0,,,2017-10-01 12:00:00,,100,4495911.0,,4496296.0,4496310,4496306,4496314
7305788,7305641,2017-09-29 21:00:00,2017-09-30 00:15:00,I,485.0,0.0,4495898.0,4495912.0,,,,,100,4495911.0,,4496296.0,4496311,4496302,
7305872,7305871,2017-02-12 08:30:00,2017-02-14 16:30:00,F,139.0,100.0,4495897.0,4495910.0,,,2017-03-14 12:00:00,,100,,,4496296.0,,,
7306716,7306656,2017-06-22 17:30:00,2017-06-29 17:30:00,U,2880.0,30.0,4495897.0,4495909.0,9000,4496037.0,2017-07-10 12:00:00,,80,,,4496297.0,4496306,,
7307172,7307072,2017-09-21 19:00:00,2017-09-28 18:30:00,U,6340.0,85.0,4495898.0,4495918.0,,4496037.0,2017-10-31 12:00:00,,90,4495914.0,4495913.0,4496298.0,4496304,4496305,4496306
7307186,7307072,2017-09-15 20:00:00,2017-09-16 19:30:00,U,6266.0,55.0,4495898.0,4495918.0,,4496037.0,2017-10-31 12:00:00,,70,4495914.0,,4496298.0,4496304,4496305,4496306
7307384,7307072,2017-09-07 19:00:00,2017-09-08 19:00:00,U,5687.0,55.0,4495898.0,4495918.0,5000,4496037.0,2017-10-31 12:00:00,,40,4495914.0,,4496298.0,4496310,4496305,4496306
7307680,7307072,2017-08-28 08:00:00,2017-08-28 18:45:00,U,3020.0,50.0,4495898.0,4495918.0,5000,4496037.0,2017-10-31 12:00:00,,0,4495914.0,,4496297.0,4496306,4496305,4496304
7308594,7308082,2017-06-12 21:00:00,2017-06-13 19:00:00,U,933.0,0.0,4495900.0,4495918.0,20000,4496037.0,2017-07-15 12:00:00,,100,4495913.0,4495911.0,4496296.0,4496304,4496301,4496313
7308637,7308082,2017-06-13 21:00:00,2017-06-14 21:15:00,U,3875.0,5.0,4495900.0,4495918.0,20000,4496037.0,2017-07-15 12:00:00,,100,4495913.0,4495911.0,4496296.0,4496304,4496301,4496313
7309108,7308884,2017-08-31 21:00:00,2017-09-01 21:00:00,U,20221.0,88.0,4495898.0,4495918.0,30000,4496037.0,2017-10-15 12:00:00,,67,4495916.0,4495910.0,4496297.0,4496307,4496304,4496305
7309473,7308884,2017-08-15 18:00:00,2017-08-16 16:15:00,U,9924.0,35.0,4495899.0,4495918.0,30000,4496037.0,2017-10-15 12:00:00,,45,4495916.0,4495910.0,4496297.0,4496301,4496312,
7310028,7308884,2017-08-18 18:00:00,2017-08-19 18:00:00,U,14747.0,44.0,4495899.0,4495918.0,30000,4496037.0,2017-10-15 12:00:00,,45,4495916.0,4495910.0,4496297.0,4496304,4496301,4496313
7298106,7298091,2017-10-25 08:00:00,2017-10-25 19:45:00,U,86.0,82.0,4495898.0,4495913.0,86,4496037.0,2017-10-26 12:00:00,,100,4495912.0,4495911.0,4496298.0,,,
7298120,7298091,2017-10-26 10:00:00,2017-10-26 18:00:00,F,86.0,100.0,4495898.0,4495913.0,86,4496037.0,2017-10-26 12:00:00,,100,4495912.0,4495911.0,4496298.0,,,
7298131,7298091,2017-10-25 20:00:00,2017-10-26 10:00:00,U,86.0,82.0,4495898.0,4495913.0,86,4496037.0,2017-10-26 12:00:00,,100,4495912.0,4495911.0,4496298.0,,,
7298145,7298091,2017-10-24 16:45:00,2017-10-24 19:45:00,I,150.0,0.0,4495898.0,4495913.0,250,4496037.0,2017-10-26 12:00:00,,100,4495912.0,4495911.0,4496296.0,4496302,4496301,4496313
7298199,7298198,2017-05-08 10:45:00,2017-05-08 15:30:00,F,6.0,100.0,4495897.0,4495909.0,6.5,4496037.0,2017-05-08 12:00:00,,100,,,4496297.0,,,
7298211,7298210,2017-06-01 20:00:00,2017-06-02 17:00:00,I,0.0,0.0,4495897.0,4495910.0,0.1,4496037.0,2017-06-05 12:00:00,,0,,,4496298.0,4496314,,
7298222,7298210,2017-06-02 17:00:00,2017-06-08 17:00:00,F,0.0,100.0,4495897.0,4495910.0,0.1,4496037.0,2017-06-05 12:00:00,,100,,,4496298.0,,,
7299002,7298734,2017-07-13 07:00:00,2017-07-13 18:15:00,U,1145.0,35.0,4495899.0,4495910.0,1500,4496037.0,2017-07-31 12:00:00,,100,,,4496296.0,4496301,4496308,4496311
7300598,7300563,2017-07-16 20:15:00,2017-07-17 18:30:00,U,188.0,0.0,4495899.0,4495918.0,1000,4496037.0,2017-10-15 12:00:00,,0,4495910.0,4495916.0,4496297.0,4496306,4496314,
7301205,7301166,2017-07-09 15:00:00,2017-07-10 14:00:00,U,679.0,95.0,4495900.0,4495911.0,1000,4496037.0,2017-07-22 12:00:00,,100,4495913.0,,4496298.0,4496314,4496306,4496305
7301215,7301166,2017-07-10 16:00:00,2017-07-11 15:45:00,U,1342.0,95.0,4495900.0,4495911.0,1000,4496037.0,2017-07-22 12:00:00,,100,4495913.0,,4496298.0,4496314,4496306,4496305
7301226,7301225,2017-07-08 22:00:00,2017-07-09 22:00:00,F,1001.0,100.0,4495896.0,4495911.0,1001,4496037.0,2017-07-09 12:00:00,,100,4495913.0,,4496298.0,,,
7301243,7301225,2017-07-08 17:28:00,2017-07-09 00:00:00,I,1000.0,98.0,4495897.0,4495911.0,1000,4496037.0,2017-07-09 12:00:00,,100,4495913.0,,4496296.0,4496303,,
7301998,7301877,2017-07-09 18:30:00,2017-07-10 19:00:00,U,25000.0,50.0,4495898.0,4495911.0,30000,4496037.0,2017-07-13 12:00:00,,100,4495913.0,,4496295.0,4496302,4496304,
7302038,7301877,2017-07-09 01:45:00,2017-07-09 18:30:00,U,7000.0,15.0,4495898.0,4495911.0,8000,4496037.0,2017-07-13 12:00:00,,100,4495913.0,,4496295.0,4496303,4496304,4496302
7302073,7301877,2017-07-15 01:45:00,2017-07-15 20:00:00,F,25100.0,100.0,4495896.0,4495911.0,25100,4496037.0,2017-07-15 12:00:00,,100,4495913.0,,4496298.0,,,
7302087,7301877,2017-07-13 15:00:00,2017-07-15 01:45:00,U,25100.0,75.0,4495897.0,4495911.0,25100,4496037.0,2017-07-14 12:00:00,,100,4495913.0,,4496298.0,4496306,,
7303043,7302734,2017-10-17 08:00:00,2017-10-17 18:00:00,U,17500.0,0.0,4495898.0,4495918.0,76550,4496037.0,2017-11-27 12:00:00,,3,4495913.0,4495909.0,4496297.0,,,
7303059,7302734,2017-10-16 08:00:00,2017-10-16 20:00:00,U,17400.0,0.0,4495898.0,4495918.0,76550,4496037.0,2017-11-27 12:00:00,,3,4495913.0,4495909.0,4496297.0,,,
7304721,7303780,2017-08-09 08:00:00,2017-08-09 20:00:00,U,4310.0,95.0,4495899.0,4495918.0,5000,4496037.0,2017-08-12 12:00:00,,100,4495916.0,,4496297.0,4496305,4496306,4496314
7304785,7303780,2017-08-08 20:00:00,2017-08-09 07:30:00,U,4310.0,91.0,4495899.0,4495918.0,5000,4496037.0,2017-08-12 12:00:00,,100,4495916.0,,4496297.0,4496305,4496306,4496314
7305885,7305884,2017-03-06 18:00:00,2017-03-10 11:00:00,U,6478.0,85.0,4495897.0,4495917.0,6500,4496037.0,2017-03-15 12:00:00,,100,4495911.0,,4496298.0,4496314,,
7305897,7305884,2017-03-10 11:00:00,2017-03-13 09:00:00,F,6478.0,100.0,4495897.0,4495917.0,6500,4496037.0,2017-03-15 12:00:00,,100,4495911.0,,4496298.0,,,
7305906,7305884,2017-03-01 13:00:00,2017-03-06 18:00:00,I,6478.0,50.0,4495897.0,4495917.0,6500,4496037.0,2017-03-15 12:00:00,,100,4495911.0,,4496296.0,4496306,4496310,4496314
7305919,7305918,2017-03-06 09:00:00,2017-03-07 08:30:00,U,252.0,93.0,4495897.0,4495917.0,252,4496037.0,2017-03-06 12:00:00,,100,4495911.0,,4496298.0,4496314,,
7305934,7305918,2017-03-01 17:30:00,2017-03-04 14:30:00,I,252.0,80.0,4495897.0,4495917.0,252,4496037.0,2017-03-06 12:00:00,,100,4495911.0,,4496298.0,4496314,,
7305949,7305918,2017-03-07 08:30:00,2017-03-08 09:00:00,U,252.0,96.0,4495897.0,4495917.0,252,4496037.0,2017-03-06 12:00:00,,100,4495911.0,,4496298.0,4496314,,
7305964,7305918,2017-03-04 14:30:00,2017-03-06 09:00:00,U,252.0,90.0,4495897.0,4495917.0,252,4496037.0,2017-03-06 12:00:00,,100,4495911.0,,4496298.0,4496314,,
7305979,7305918,2017-03-08 09:00:00,2017-03-09 08:00:00,F,252.0,100.0,4495897.0,4495917.0,252,4496037.0,2017-03-06 12:00:00,,100,4495911.0,,4496298.0,,,
7305994,7305993,2017-03-02 13:00:00,2017-03-04 12:00:00,F,580.0,100.0,4495897.0,4495917.0,,,2017-03-02 12:00:00,,100,4495913.0,,4496298.0,,,
7306006,7305993,2017-03-01 13:00:00,2017-03-02 16:00:00,I,580.0,80.0,4495897.0,4495917.0,,,2017-03-02 12:00:00,,100,4495913.0,,4496297.0,4496305,4496306,
7306019,7306018,2017-03-03 12:00:00,2017-03-04 07:30:00,F,2.0,100.0,4495898.0,4495909.0,2.6,4496037.0,2017-03-04 12:00:00,,100,,,4496298.0,,,
7306032,7306018,2017-03-03 10:30:00,2017-03-03 12:00:00,I,2.0,100.0,4495898.0,4495909.0,,,,,100,,,4496297.0,4496304,4496305,
7306726,7306656,2017-06-19 17:30:00,2017-06-22 17:30:00,U,2880.0,20.0,4495898.0,4495909.0,9000,4496037.0,2017-07-10 12:00:00,,80,,,4496297.0,4496306,,
7307202,7307072,2017-09-14 18:30:00,2017-09-15 18:30:00,U,6256.0,55.0,4495898.0,4495918.0,,4496037.0,2017-10-31 12:00:00,,70,4495914.0,,4496298.0,4496304,4496305,4496306
7307397,7307072,2017-08-11 09:00:00,2017-08-11 18:00:00,U,800.0,0.0,4495898.0,4495918.0,5000,4496037.0,2017-10-31 12:00:00,,0,4495914.0,,4496298.0,4496314,4496306,4496310
7308711,7308082,2017-06-11 21:00:00,2017-06-12 14:00:00,U,500.0,0.0,4495900.0,4495918.0,20000,4496037.0,2017-07-15 12:00:00,,100,4495913.0,4495911.0,4496296.0,4496305,4496310,4496313
7309128,7308884,2017-09-02 19:00:00,2017-09-03 16:30:00,U,22289.0,88.0,4495898.0,4495918.0,30000,4496037.0,2017-10-15 12:00:00,,67,4495916.0,4495910.0,4496297.0,4496307,4496306,4496305
7309508,7308884,2017-08-07 17:00:00,2017-08-08 17:00:00,U,5915.0,0.0,4495899.0,4495918.0,30000,4496037.0,2017-10-15 12:00:00,,45,4495916.0,4495910.0,4496297.0,4496301,4496312,
7310065,7308884,2017-08-21 18:30:00,2017-08-22 18:00:00,U,16404.0,49.0,4495899.0,4495918.0,30000,4496037.0,2017-10-15 12:00:00,,25,4495916.0,4495910.0,4496297.0,4496304,4496301,4496313
7298233,7298232,2017-07-28 17:00:00,2017-07-29 18:45:00,F,1763.0,100.0,4495897.0,4495909.0,,,2017-07-29 12:00:00,,100,4495913.0,,4496298.0,4496314,,
7298250,7298232,2017-07-27 20:30:00,2017-07-28 17:00:00,I,1763.0,40.0,4495897.0,4495909.0,,,,,100,4495913.0,,4496298.0,4496314,,
7298273,7298272,2016-12-31 07:00:00,2016-12-31 07:15:00,F,600.0,70.0,4495897.0,4495917.0,,,2016-12-07 12:00:00,,100,,,4496298.0,,,
7298300,7298299,2017-07-27 23:00:00,2017-07-28 17:00:00,F,1830.0,100.0,4495897.0,4495911.0,1830,4496037.0,2017-07-28 12:00:00,,100,,,4496298.0,,,
7298320,7298319,2017-07-13 09:00:00,2017-07-14 17:00:00,I,0.0,0.0,4495897.0,4495918.0,,,2017-07-31 12:00:00,,0,,,4496298.0,4496306,4496314,
7298328,7298319,2017-07-13 13:00:00,2017-07-20 16:00:00,U,0.0,0.0,4495897.0,4495918.0,,,2017-07-31 12:00:00,,0,,,4496298.0,,,
